time,voltage,current,power
20210403040000.61, 121.6, 2.5, 237.0
20210403040001.75, 121.6, 2.5, 236.0
20210403040002.82, 121.6, 2.5, 238.0
20210403040003.89, 121.6, 2.5, 238.0
20210403040004.94, 121.6, 2.6, 239.0
20210403040006.0, 121.6, 2.6, 239.0
20210403040007.07, 121.6, 2.6, 235.0
20210403040008.14, 121.6, 2.6, 235.0
20210403040009.2, 121.6, 2.6, 236.0
20210403040010.27, 121.6, 2.6, 236.0
20210403040011.34, 121.6, 2.6, 236.0
20210403040012.42, 121.6, 2.6, 236.0
20210403040013.49, 121.5, 2.6, 240.0
20210403040014.55, 121.5, 2.6, 240.0
20210403040015.62, 121.5, 2.6, 241.0
20210403040016.7, 121.5, 2.6, 241.0
20210403040017.76, 121.6, 2.6, 234.0
20210403040018.83, 121.6, 2.6, 234.0
20210403040019.89, 121.6, 2.5, 235.0
20210403040020.96, 121.6, 2.5, 235.0
20210403040022.02, 121.6, 2.5, 239.0
20210403040023.1, 121.6, 2.5, 239.0
20210403040024.18, 121.6, 2.5, 239.0
20210403040025.24, 121.6, 2.5, 239.0
20210403040026.31, 121.6, 2.5, 240.0
20210403040027.37, 121.6, 2.5, 240.0
20210403040028.45, 121.6, 2.5, 234.0
20210403040029.52, 121.6, 2.5, 234.0
20210403040030.58, 121.6, 2.5, 238.0
20210403040031.65, 121.6, 2.5, 238.0
20210403040032.73, 121.6, 2.5, 235.0
20210403040033.8, 121.6, 2.5, 235.0
20210403040034.85, 121.6, 2.5, 235.0
20210403040035.92, 121.6, 2.5, 235.0
20210403040036.99, 121.6, 2.5, 236.0
20210403040038.06, 121.6, 2.5, 236.0
20210403040039.12, 121.6, 2.5, 239.0
20210403040040.18, 121.6, 2.5, 239.0
20210403040041.23, 121.6, 2.5, 237.0
20210403040042.3, 121.6, 2.5, 237.0
20210403040043.37, 121.6, 2.5, 238.0
20210403040044.43, 121.6, 2.5, 238.0
20210403040045.49, 121.6, 2.5, 238.0
20210403040046.55, 121.6, 2.5, 238.0
20210403040047.61, 121.5, 2.5, 234.0
20210403040048.77, 121.6, 2.5, 238.0
20210403040049.82, 121.6, 2.5, 238.0
20210403040050.88, 121.6, 2.5, 235.0
20210403040051.95, 121.6, 2.5, 235.0
20210403040053.01, 121.6, 2.5, 239.0
20210403040054.08, 121.6, 2.5, 239.0
20210403040055.14, 121.6, 2.5, 239.0
20210403040056.2, 121.6, 2.5, 239.0
20210403040057.26, 121.6, 2.5, 238.0
20210403040058.32, 121.6, 2.5, 238.0
20210403040059.39, 121.6, 2.5, 233.0
20210403040100.46, 121.6, 2.5, 233.0
20210403040101.52, 121.6, 2.5, 238.0
20210403040102.59, 121.6, 2.5, 238.0
20210403040103.65, 121.5, 2.5, 239.0
20210403040104.7, 121.5, 2.5, 239.0
20210403040105.75, 121.6, 2.5, 238.0
20210403040106.82, 121.6, 2.5, 238.0
20210403040107.89, 121.6, 2.5, 237.0
20210403040108.95, 121.6, 2.5, 237.0
20210403040110.02, 121.6, 2.5, 237.0
20210403040111.1, 121.6, 2.5, 237.0
20210403040112.16, 121.6, 2.5, 237.0
20210403040113.22, 121.6, 2.5, 237.0
20210403040114.29, 121.6, 2.5, 236.0
20210403040115.34, 121.6, 2.5, 236.0
20210403040116.39, 121.6, 2.5, 237.0
20210403040117.46, 121.6, 2.5, 237.0
20210403040118.52, 121.6, 2.5, 237.0
20210403040119.58, 121.6, 2.5, 237.0
20210403040120.64, 121.6, 2.5, 239.0
20210403040121.71, 121.6, 2.5, 239.0
20210403040122.78, 121.6, 2.5, 234.0
20210403040123.84, 121.6, 2.5, 234.0
20210403040124.91, 121.6, 2.5, 236.0
20210403040125.99, 121.6, 2.5, 236.0
20210403040127.05, 121.6, 2.5, 237.0
20210403040128.12, 121.6, 2.5, 237.0
20210403040129.2, 121.6, 2.5, 233.0
20210403040130.27, 121.6, 2.5, 233.0
20210403040131.34, 121.5, 2.5, 235.0
20210403040132.41, 121.5, 2.5, 235.0
20210403040133.47, 121.6, 2.5, 235.0
20210403040134.52, 121.6, 2.5, 235.0
20210403040135.58, 121.6, 2.5, 235.0
20210403040136.65, 121.6, 2.5, 235.0
20210403040137.72, 121.6, 2.5, 235.0
20210403040138.79, 121.6, 2.5, 235.0
20210403040139.86, 121.6, 2.5, 241.0
20210403040141.01, 121.6, 2.5, 237.0
20210403040142.08, 121.6, 2.5, 237.0
20210403040143.12, 121.6, 2.5, 236.0
20210403040144.19, 121.6, 2.5, 236.0
20210403040145.25, 121.5, 2.5, 237.0
20210403040146.32, 121.5, 2.5, 237.0
20210403040147.39, 121.5, 2.5, 237.0
20210403040148.44, 121.5, 2.5, 237.0
20210403040149.5, 121.6, 2.5, 242.0
20210403040150.56, 121.6, 2.5, 242.0
20210403040151.61, 121.6, 2.7, 237.0
20210403040152.68, 121.6, 2.7, 237.0
20210403040153.75, 121.6, 2.7, 238.0
20210403040154.82, 121.6, 2.7, 238.0
20210403040155.87, 121.6, 2.7, 237.0
20210403040156.95, 121.6, 2.7, 237.0
20210403040158.0, 121.5, 2.7, 235.0
20210403040159.07, 121.5, 2.7, 235.0
20210403040200.14, 121.6, 2.7, 239.0
20210403040201.2, 121.6, 2.7, 239.0
20210403040202.26, 121.6, 2.7, 237.0
20210403040203.32, 121.6, 2.7, 237.0
20210403040204.38, 121.6, 2.7, 236.0
20210403040205.44, 121.6, 2.7, 236.0
20210403040206.49, 121.6, 2.6, 240.0
20210403040207.55, 121.6, 2.6, 240.0
20210403040208.61, 121.6, 2.6, 239.0
20210403040209.68, 121.6, 2.6, 239.0
20210403040210.75, 121.7, 2.6, 233.0
20210403040211.83, 121.7, 2.6, 233.0
20210403040212.89, 121.6, 2.6, 237.0
20210403040213.96, 121.6, 2.6, 237.0
20210403040215.03, 121.6, 2.6, 235.0
20210403040216.09, 121.6, 2.6, 235.0
20210403040217.15, 121.6, 2.6, 236.0
20210403040218.22, 121.6, 2.6, 236.0
20210403040219.29, 121.6, 2.6, 237.0
20210403040220.35, 121.6, 2.6, 237.0
20210403040221.41, 121.6, 2.6, 238.0
20210403040222.48, 121.6, 2.6, 238.0
